city,district,year,month,lat,lon,temperature_c
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S107,2024,7,1.313500,103.962500,29.400000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.100000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.100000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.200000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.100000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.100000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.200000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.100000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.300000
Singapore,S50,2024,7,1.333700,103.776800,28.200000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S107,2024,7,1.313500,103.962500,29.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.100000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.300000
Singapore,S50,2024,7,1.333700,103.776800,28.200000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.100000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.300000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,29.000000
Singapore,S117,2024,7,1.256000,103.679000,28.600000
Singapore,S107,2024,7,1.313500,103.962500,29.400000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.100000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.300000
Singapore,S60,2024,7,1.250000,103.827900,28.300000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,29.000000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.300000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,29.000000
Singapore,S117,2024,7,1.256000,103.679000,28.400000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.300000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.300000
Singapore,S60,2024,7,1.250000,103.827900,28.300000
Singapore,S50,2024,7,1.333700,103.776800,28.400000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.500000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.400000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.100000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.300000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.300000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.100000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S107,2024,7,1.313500,103.962500,29.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.100000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S107,2024,7,1.313500,103.962500,29.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.300000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.500000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.500000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.100000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.500000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.100000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,29.000000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S107,2024,7,1.313500,103.962500,29.400000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.400000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.300000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.400000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.100000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.400000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S107,2024,7,1.313500,103.962500,29.600000
Singapore,S104,2024,7,1.443870,103.785380,28.500000
Singapore,S115,2024,7,1.293770,103.618430,29.000000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.400000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.500000
Singapore,S104,2024,7,1.443870,103.785380,28.500000
Singapore,S115,2024,7,1.293770,103.618430,28.900000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.400000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,28.900000
Singapore,S111,2024,7,1.310550,103.836500,28.400000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
Singapore,S108,2024,7,1.279900,103.870300,28.900000
Singapore,S109,2024,7,1.376400,103.849200,28.900000
Singapore,S117,2024,7,1.256000,103.679000,28.600000
Singapore,S107,2024,7,1.313500,103.962500,29.400000
Singapore,S104,2024,7,1.443870,103.785380,28.500000
Singapore,S115,2024,7,1.293770,103.618430,28.900000
Singapore,S116,2024,7,1.281000,103.754000,29.400000
Singapore,S102,2024,7,1.189000,103.768000,29.200000
Singapore,S60,2024,7,1.250000,103.827900,28.400000
Singapore,S50,2024,7,1.333700,103.776800,28.300000
Singapore,S44,2024,7,1.345830,103.681660,29.000000
Singapore,S43,2024,7,1.339900,103.887800,29.200000
Singapore,S24,2024,7,1.367800,103.982600,29.000000
Singapore,S111,2024,7,1.310550,103.836500,28.400000
Singapore,S121,2024,7,1.372880,103.722440,28.600000
